	longitude	latitude	depth	mag	years	months	days	hours	minutes	seconds	author
219	44.4523	41.3497	2	132	2006	05	24	12	21	32	TIF
220	43.8808	41.7353	2	125	2006	05	25	03	38	17	TIF
221	43.3107	42.4720	4	116	2006	05	26	05	10	27	TIF
222	44.4418	41.3832	5	181	2006	05	27	10	11	02	TIF
223	43.5933	42.4823	29	275	2006	05	29	01	55	16	TIF
224	44.1208	41.3710	5	187	2006	05	30	05	02	03	TIF
225	44.4560	41.3530	3	105	2006	05	30	10	16	58	TIF
226	44.0385	41.4138	4	178	2006	05	31	05	35	14	TIF
227	44.4537	41.3495	3	105	2006	05	31	09	52	31	TIF
228	44.0918	41.3355	9	196	2006	06	01	00	15	41	TIF
229	46.7083	42.8635	1	185	2006	06	02	04	00	58	TIF
230	44.4300	41.3993	3	126	2006	06	02	10	19	25	TIF
231	44.9293	42.4693	20	169	2006	06	02	19	53	29	TIF
232	40.1630	43.4862	13	205	2006	06	04	05	15	15	TIF
233	40.1117	43.5850	9	184	2006	06	05	19	35	03	TIF
234	46.0920	42.9278	34	330	2006	06	08	06	18	55	TIF
235	43.9048	41.3150	15	110	2006	06	08	12	25	50	TIF
236	43.9372	41.3290	9	223	2006	06	09	01	45	18	TIF
237	44.3047	41.6218	1	149	2006	06	21	11	38	08	TIF
238	44.1187	41.4248	4	115	2006	06	23	02	42	42	TIF
239	43.9712	41.3215	17	201	2006	06	24	20	14	21	TIF
240	45.6268	41.6808	16	295	2006	06	25	07	01	37	TIF
241	44.6403	42.0255	7	194	2006	06	26	10	12	17	TIF
242	43.8800	41.3932	11	182	2006	06	26	23	44	28	TIF
243	44.2547	41.3722	1	320	2006	06	26	23	48	02	TIF
244	44.4208	42.0518	15	263	2006	06	27	10	12	48	TIF
245	44.4398	41.3215	2	197	2006	06	27	10	45	28	TIF
246	44.1568	41.4703	18	69	2006	06	29	12	36	29	TIF
247	45.1645	42.5060	15	303	2006	06	30	05	44	57	TIF
248	44.4168	41.3575	8	175	2006	06	30	09	46	32	TIF
249	44.4520	41.3832	5	182	2006	06	30	12	24	51	TIF
250	48.9846	41.4444	10	0	1997	10	09	18	29	00	ISC
251	48.7630	42.1011	77	1	1997	11	09	05	27	15	ISC
252	43.3310	42.4730	17	3.6	2006	02	06	14	48	35	MOS
253	42.9250	42.1030	20	3.5	2006	02	07	05	17	45	MOS
254	43.2800	42.4440	18	3.4	2006	02	07	05	20	15	MOS
255	43.1910	42.3750	16	3.5	2006	02	07	06	13	27	MOS
256	46.0800	42.6700	14	4.0	2006	02	11	08	56	23	MOS
257	46.9900	43.0500	17	4.0	2006	02	13	00	48	04	MOS
258	46.2900	42.7900	19	3.8	2006	02	14	19	24	41	MOS
259	44.0000	44.0100	13	4.4	2006	02	15	13	06	37	MOS
260	46.4040	42.7950	10	3.6	2006	02	22	07	26	56	MOS
261	46.6220	42.6980	10	3.6	2006	02	22	18	12	31	MOS
262	43.4100	42.5700	15	3.8	2006	02	22	19	01	35	MOS
263	43.6330	42.6430	9	3.6	2006	02	23	01	24	55	MOS
264	43.6490	42.6650	7	3.7	2006	02	24	10	11	02	MOS
265	43.6160	42.6740	8	3.7	2006	02	24	16	43	49	MOS
266	43.4600	42.5700	8	3.7	2006	02	27	09	46	49	MOS
267	45.3285	41.8477	24	0	1997	11	27	17	34	30	ISC
268	49.3500	40.2664	16	3	1997	12	02	15	53	03	ISC
269	47.9668	41.6343	58	0	1997	12	04	06	06	18	ISC
270	41.3820	41.5250	34	5	2006	03	01	10	03	32	ISK
271	43.4330	42.5758	14	4.2	2006	03	01	14	24	35	TIF
272	43.4538	42.5313	12	4.2	2006	03	01	21	16	08	TIF
273	44.4538	41.3925	3	121	2006	03	02	09	40	36	TIF
274	47.9780	42.1100	12	3.8	2006	03	03	06	15	46	MOS
275	43.5040	42.5462	12	3.7	2006	03	06	08	32	32	TIF
276	44.4512	41.3600	4	104	2006	03	07	12	07	08	TIF
277	43.3440	42.5330	15	3.6	2006	03	08	12	20	07	MOS
278	45.0200	43.5250	18	3.6	2006	03	08	22	07	10	MOS
279	43.9902	41.3533	16	194	2006	03	08	23	32	46	TIF
280	44.0693	41.3567	15	192	2006	03	09	01	02	28	TIF
281	46.1327	43.3350	11	3.7	2006	03	09	02	53	10	TIF
282	45.3500	43.1800	20	3.8	2006	03	09	03	25	32	MOS
283	45.1900	43.5300	16	3.6	2006	03	09	04	58	28	MOS
284	44.4455	41.3693	4	190	2006	03	09	10	21	46	TIF
285	46.4243	43.3863	32	3.9	2006	03	10	09	54	44	TIF
286	43.4563	42.6767	37	4.1	2006	03	10	14	51	06	TIF
287	43.5400	42.5000	13	3.7	2006	03	11	06	15	32	MOS
288	44.6400	43.2500	12	3.5	2006	03	11	19	23	51	MOS
289	45.1000	43.3800	30	3.6	2006	03	11	23	23	04	MOS
290	45.5298	42.4987	16	239	2006	03	12	00	08	26	TIF
291	44.7900	43.5400	53	3.5	2006	03	12	01	58	52	MOS
292	46.6700	42.9930	18	3.8	2006	03	13	12	55	52	MOS
293	43.5823	42.5258	19	156	2006	03	14	08	31	26	TIF
294	46.3312	42.0365	10	318	2006	03	15	01	36	56	TIF
295	44.4458	41.3753	2	189	2006	03	15	11	42	27	TIF
296	43.9105	41.8208	9	208	2006	03	17	08	19	03	TIF
297	44.8732	42.5190	5	324	2006	03	18	09	24	45	TIF
298	37.4664	44.7396	26	0	2006	03	19	00	52	23	ISC
299	37.5000	44.5000	15	3.7	2006	03	19	02	00	22	MOS
300	36.8613	43.0445	0	3.1	1997	12	25	22	44	17	EIDC
301	43.9348	41.3613	9	191	2006	03	19	21	55	18	TIF
302	44.4390	41.3672	6	101	2006	03	20	09	53	45	TIF
303	44.6612	41.5098	15	153	2006	03	22	09	21	56	TIF
304	44.0328	41.3562	24	135	2006	03	23	01	13	47	TIF
305	44.4483	41.3548	7	131	2006	03	23	12	48	05	TIF
306	46.0332	43.0188	77	4.0	2006	03	27	12	19	12	TIF
307	44.1213	41.3832	7	122	2006	03	28	20	40	17	TIF
308	45.5017	41.7523	32	3.1	2006	03	28	23	23	56	TIF
309	45.4683	42.2338	17	221	2006	03	29	12	47	03	TIF
310	43.4763	42.5747	19	3.6	2006	03	30	00	19	23	TIF
311	45.2838	42.2603	19	205	2006	03	30	01	01	18	TIF
312	45.3230	42.2617	5	288	2006	03	30	01	36	11	TIF
313	46.1600	42.5540	10	3.8	2006	03	30	19	10	17	MOS
314	45.5468	42.1971	4	0	2006	03	30	20	28	45	ISC
315	45.4868	42.2509	4	0	2006	03	30	21	08	29	ISC
316	36.9046	44.7323	28	0	2006	03	30	21	37	26	ISC
317	45.4002	42.2300	17	3.7	2006	03	30	22	07	52	TIF
318	45.3622	42.2507	16	3.9	2006	03	30	22	37	44	TIF
319	45.3908	42.2225	17	4.0	2006	03	30	23	46	46	TIF
320	43.0530	43.8950	10	3.8	2006	03	31	10	56	50	MOS
321	44.4382	41.3602	4	102	2006	03	31	12	51	37	TIF
322	43.5700	42.6000	18	3.5	2006	05	17	21	56	42	MOS
323	43.7200	42.5000	32	3.5	2006	05	18	10	58	32	MOS
324	43.4800	42.5300	5	3.5	2006	05	18	19	27	23	MOS
325	44.3700	42.7500	29	3.5	2006	05	19	09	11	15	MOS
326	43.4600	42.5600	22	3.5	2006	05	19	09	21	58	MOS
